source_key,keyword,count,relative_path,path
22b_axis_fix,C2025AUG,3,00_input_check.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\00_input_check.csv
22b_axis_fix,C2025AUG,1,00_input_check_22b.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\00_input_check_22b.csv
22b_axis_fix,mini1,1,02_final_core_targets.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\02_final_core_targets.csv
22b_axis_fix,15G,2,02_final_core_targets.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\02_final_core_targets.csv
22b_axis_fix,C2025AUG,1,02_final_core_targets.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\02_final_core_targets.csv
22b_axis_fix,mini1,6,03_c2025aug_axis_final_FIXED.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\03_c2025aug_axis_final_FIXED.csv
22b_axis_fix,15G,6,03_c2025aug_axis_final_FIXED.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\03_c2025aug_axis_final_FIXED.csv
22b_axis_fix,BC seam support,1,03_c2025aug_axis_final_FIXED.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\03_c2025aug_axis_final_FIXED.csv
22b_axis_fix,C2025AUG,9,03_c2025aug_axis_final_FIXED.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\03_c2025aug_axis_final_FIXED.csv
22b_axis_fix,mini1,1,04_remote_vs_prereserved_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\04_remote_vs_prereserved_final.csv
22b_axis_fix,15G,2,04_remote_vs_prereserved_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\04_remote_vs_prereserved_final.csv
22b_axis_fix,C2025AUG,1,04_remote_vs_prereserved_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\04_remote_vs_prereserved_final.csv
22b_axis_fix,mini1,1,05_sc_design_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\05_sc_design_final.csv
22b_axis_fix,15G,2,05_sc_design_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\05_sc_design_final.csv
22b_axis_fix,C2025AUG,1,05_sc_design_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\05_sc_design_final.csv
22b_axis_fix,mini1,1,06_sc_purpose_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\06_sc_purpose_final.csv
22b_axis_fix,15G,2,06_sc_purpose_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\06_sc_purpose_final.csv
22b_axis_fix,C2025AUG,1,06_sc_purpose_final.csv,C:\Users\Administrator\Desktop\Result\SC_Final_22b_AXIS_FIXED\06_sc_purpose_final.csv
