target_device,focus,victim_category,count
mini1,C2025AUG,OTHER_OR_UNKNOWN_TARGET,89184
mini1,C2025AUG,LOG_PRESERVATION_TARGET,38109
mini1,C2025AUG,BACKUP_EVIDENCE_TARGET,10803
mini1,C2025AUG,FILE_DATA_TARGET,6079
mini1,C2025AUG,SYSTEM_STABILITY_TARGET,3877
mini1,C2025AUG,ACCOUNT_CLOUD_TRUST_TARGET,3746
mini1,C2025AUG,SCREENSHOT_RECORDING_TARGET,3574
mini1,C2025AUG,TELECOM_BASEBAND_TARGET,1526
mini1,C2025AUG,RESTRICTION_POLICY_TARGET,1279
15G,C2026MARAPR_B,BACKUP_EVIDENCE_TARGET,42329
15G,C2026MARAPR_B,OTHER_OR_UNKNOWN_TARGET,38668
15G,C2026MARAPR_B,FILE_DATA_TARGET,3266
15G,C2026MARAPR_B,SYSTEM_STABILITY_TARGET,2471
15G,C2026MARAPR_B,LOG_PRESERVATION_TARGET,2034
15G,C2026MARAPR_B,SCREENSHOT_RECORDING_TARGET,1751
15G,C2026MARAPR_B,ACCOUNT_CLOUD_TRUST_TARGET,1668
15G,C2026MARAPR_B,TELECOM_BASEBAND_TARGET,975
15G,C2026MARAPR_B,RESTRICTION_POLICY_TARGET,657
15G,C2026MAR_A,BACKUP_EVIDENCE_TARGET,40212
15G,C2026MAR_A,OTHER_OR_UNKNOWN_TARGET,35620
15G,C2026MAR_A,FILE_DATA_TARGET,2921
15G,C2026MAR_A,SYSTEM_STABILITY_TARGET,2428
15G,C2026MAR_A,LOG_PRESERVATION_TARGET,1764
15G,C2026MAR_A,ACCOUNT_CLOUD_TRUST_TARGET,1393
15G,C2026MAR_A,SCREENSHOT_RECORDING_TARGET,1350
15G,C2026MAR_A,TELECOM_BASEBAND_TARGET,998
15G,C2026MAR_A,RESTRICTION_POLICY_TARGET,637
