sha256,count,device_labels,artifact_types,evidence_classes,sample_filenames_redacted
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,27,15G|UNKNOWN,analytics_log|csv_summary|jetsam_resource|text_log,RAW_DEVICE_LOG_ARCHIVE|ROOM85_RECONSTRUCTION_OUTPUT,00_errors.csv || 01_17d_USER_APP_OPERATION_STORAGE_BASELINE.stderr.txt || 02_17e_NATIVE_CONNECTIVITY_TRIGGER_BASELINE.stderr.txt || 03_18_USAGE_DAEMON_ORDER_LOGS_ONLY.stderr.txt || 04_18b_RESET_JETSAM_SEAM_REFINE.stderr.txt || 05_18c2_PATTERN_B_ALPHA_BETA_COMPARE_FIXED.stderr.txt || 06_18d_BC_COMBINED_DAEMON_SEAM.stderr.txt || 07_18e_CONDITION_TRIGGER_CROSS_MODEL.stderr.txt || 08_18f_TIME_WINDOW_CONDITION_CROSS.stderr.txt || 09_18f2_TIME_WINDOW_UNIQUE_CLEAN.stderr.txt || 10_18g_CORE_ONLY_JOKER_DECISION.stderr.txt || 11_18g2_CORE_OF_CORE_JOKER_FINAL.stderr.txt || 12_18h_FINAL_JOKER_PACKAGE.stderr.txt || Preferences-[PHONE].ips
95432ab9afeb105535ee16f07207f9befe0299ac11305e26019ccbacea556e69,26,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,26,UNKNOWN|mini1G,csv_summary|endpoint_network|jetsam_resource|manifest_related|usageclientid,MINI1G_BASELINE_OR_RAW|ROOM85_RECONSTRUCTION_OUTPUT,00_context_errors.csv || 00_errors.csv || 00_extract_errors.csv || 00_parse_errors.csv || 00_scan_errors.csv || 03_raw_usageclientid_index_compact.csv || 03_scan_errors.csv || 23d_usageclientid_from_to_events.csv || 23d_usageclientid_from_to_summary.csv || 27c_machservices_errors.csv || 29c_usage_explicit_from_to_candidates.csv || 29f4_rejected_or_manual_review_transitions.csv || 30b4_focus_keep_endpoint_summary.csv || 30c2_unresolved_keep_endpoint_rows.csv || 31d2_hard_marker_rows.csv || 36_missing_evidence_index_manifest.csv || 36_missing_scripts_manifest.csv
2801bfb1c23c3803c87fa62ff3d26e5277a7392f1b16bf0efabb02cd2e95217a,15,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
5a8a4de036e21f2cd49dc40fef39f20af2995ed465ed3743d9ae142946991f5f,9,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2.txt || テキスト 3.txt || テキスト.txt
d46873695513b6cb03ce2fd372566aecf01cb9c10c45b736ba67e31c7baddfd8,8,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
4902b5e55d6835e824099f296c4e7794cefe2bfa32d2544db464a3ab44a68553,7,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
6634a4ccfd339d21518f8e31fa97927b5c83f0cf78d7d06c31e305574127b4e3,7,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
6026bb1393745d61645f373f589ba96c139cec18690f315135b01103627eb05e,7,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
9c1aa6874032c1f1ff76a0e57f0c47dbc838e593e360028478c918ed9729ae9e,7,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
e805d58351bf204b2c4f3650bcafaa75eedd1b9d8ad3f8b6d04e4c7dcd423cd4,7,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
5a5d4156e221c635d7733faa7c13a529289ccba255b086ea390026ba6d1dbf4d,6,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE](2).txt || RTCReporting_messageLog_2026-[PHONE].txt
0fd4844eeb2afca4ae4ea4e3fad19fde0c63ca1440b83b20b1b6e48cd3ba2a8e,6,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE](1).txt || RTCReporting_messageLog_2026-[PHONE].txt
715a449c3ef5236e5d2bd0555ca61e7b822edffc98d4460540d5219c659fd60d,6,mini1,rtcr|script,RAW_DEVICE_LOG_ARCHIVE,unified_ios_day_zip_check.py
6a78744da9d36ed592a11f1a5be4d41d244bd64095c8192dfc8fa220b2931e31,6,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (3).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト (11).txt || テキスト (12).txt || テキスト.txt
2d1fbfef5e255f21061b9a5de18665b50c34b6a3a8ffefb1b67922998c574f0e,6,mini2,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
235b54756a6c5a7c0f7769be14a63d9741efef11da9300f75f91dd0f2760fb2e,6,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (3).txt || RTCReporting_messageLog_2025-[PHONE] (4).txt || テキスト (18).txt || テキスト (19).txt
ed0f8d5655f325ed4341e8d3067164d38278f7d6938d9f960912c9954ef34e4f,6,mini2,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
18e630cf24f31bfe8c6e8600ca76b8e0345253156e55c1a9caa8f3cd34980995,6,UNKNOWN,csv_summary,ROOM85_RECONSTRUCTION_OUTPUT,98_errors.csv
90535a9138c8dac93f9719d01509ca1b0ffee3fcb1d007197b0163ae9811a06e,5,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 3.txt || テキスト.txt
192c728c502043f6d1b4b28b322102257aa76d4cbcef9d7625724d2c1e75db6b,5,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2.txt || テキスト.txt
997e7cd2972ad6288a1f9cbf809ddb337b7b9db5ac66e0de7549fc16cb53a084,5,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
90c0415dd7cfa4567c572396c8cb06b3c401abe90881e8f6e9ef4ae16d37a98c,5,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,stacks-[PHONE].ips
5bc69bbff3ba276a7a1175244cb3f067d3fc37751faed9963b42e5b5e309c7fc,5,iPhone11Pro,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
e0c31a3d76e8ec968b470ccad8d5562edc4cd00f4a2c91fa49c03a3ef4e64864,5,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (2).txt || RTCReporting_messageLog_2025-[PHONE] (8).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2 (6).txt || テキスト 3 (4).txt
3b265af1c32e85aa8b4c4f5b3b17ce022dab230f0fc442731a841dbbb35b96a2,5,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (5).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト (13).txt || テキスト (6).txt || テキスト.txt
a257fa7d9796667c3858c215c0737e80a2389d17bbe7db55b249d8eda8e22893,5,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (3).txt || RTCReporting_messageLog_2025-[PHONE] (5).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト (6).txt || テキスト 3.txt
729422aeaaab3ee66e662aef1a27c194c58021456c07174cd657d64e074f543d,5,mini2,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt
596013023dd35f2bbc6d0596825a72f9927aebdced1d64d9350a21f4ff90df40,4,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2.txt || テキスト 3.txt
7f685de359c77257081d6127810fad15e31079c42266201da59563445a9d1c3c,4,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
2d328fc645f593f0398328896d879128569f2a8e9dd6e9bd4e1141c9bafd9fbf,4,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,stacks-[PHONE].ips
d4a463985a9b167170a35f45430712f546760094df932a6ee3d48957e7a0a60f,4,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,ANECompilerService.diskwrites_resource-[PHONE].ips
9920c83a28328bb48f2a167e55569927357fc573afee747f604e559a4b8f68b6,4,12G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
67146b9fcf451ded1df0c77b5ba68256a9ad4785ddd4c39490dba8ddf1e10e80,4,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2.txt || テキスト 3.txt
9b9648391d7f6f84341ef8dd1ec315682106046ee91f4d716036f0f92dbd64d0,4,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 3.txt || テキスト 4.txt
ebdcaa36349ef8e49ecd9ae28b2cd6c646eda6a49fb2734cc9d8e70b60f47e96,4,12G,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE](1).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2.txt
d10c04c4fa9a7191afb8216d41007311f7d39676df6bfd2a0f2a5faf2cb1970d,4,12G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt
d4de934b788b8b65f92bfb1f41d451dd8a190dbbc9acc3be52032058ddcd4e7b,4,12G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
26b5deef133f47becca26680cc98a89cdea5a622a8662f81ec0154679fc15e8f,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
a167d3426dffc42531f2079ff57f431a639c3128625668524272ed812ef12e77,4,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
67a32928169aa9e7d4cc52eafb50b681b01fcf89d8734b9f3b05fad8463ee721,4,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
257235e104baff7c2d4c26f56fc865e6080679658cf2a5bd57edab6ccc58be0b,4,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
8a23587b9097d2eaf7a49dcd64b26bc0bc70c9aedd99562065553aa4dedce4df,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,JetsamEvent-[PHONE].ips
59ec20ca901553029ee16b266e19206906273bf4926a1fbc3cda43b17be4cc08,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,maild-[PHONE].ips
19fb6e0de2d3722691257abeeab7be2a2c4790c27a23594e0a7c620347e7bb12,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,maild-[PHONE].ips
ce005effd52ed9d187a3ea809555cd564d4384af512c8ea3e99b977088a033e4,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,maild-[PHONE].ips
b38f3136ea1b7e387e3495d5921b21a2070c3bfc8776543ca6815bf32eae9fc9,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
63af78bc69f03f971a25cac11446178aecf560abcd1c9c643182b8a6a7330300,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
968841d7ccfc8d5351c594b55c1e8647e7050c13e6b61643003f9d9f6f03fab0,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
710faeae0bb5082cbf10f96df383664d1a3a4874df5c6c6af5518bf814c2282d,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
0605e39fb9e5e6cac948812f61fd9f280983a54d04d587dd2f0920bfcec31bd7,4,15G,sysdiagnose,RAW_DEVICE_LOG_ARCHIVE,sysdiagnose_2026.03.17_03-17-17+0700_iPhone-OS_iPhone_22F76 2.tar.gz || sysdiagnose_2026.03.17_03-17-17+0700_iPhone-OS_iPhone_22F76.tar.gz
74d50a488dec9c870ac2bf04da0d0a2f52bd69d96318ee44061291b527435410,4,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE](2).txt || RTCReporting_messageLog_2026-[PHONE].txt
c12218352ea8f720b62121a088f3a0c308e4bb24306b7d44bb72a2caedbad064,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE].ips
180bf0a3ad9c3af822ae288557816f85f5d9cbc5bec7fbb610386c5339a8fab9,4,15G,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SiriSearchFeedback-[PHONE](1).ips || SiriSearchFeedback-[PHONE].ips
47280d3665ae9f380767539d7f813383f7512eab40ce254c9a4345b7abd61a92,4,15G,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
0313ab522049d9c04406d15c3a52ab04f71341ef3704a17c294a17ccc0fabf2c,4,iPad,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt
39220338aeee6f8972856ffc776486d31779d818281a47f887610f10fba7524b,4,iPhone11Pro,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2026-[PHONE].txt || SFA-CloudServices.json-[PHONE].txt
0363fd252e756adf12e458400441b0649a3f7912aa3cbe36fe0e76ca13795b70,4,mini1,rtcr,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt
4b5bc6598fee0e731ce26aa740a6e874ce561149838d0435dad8ab1198bf1471,4,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (12).txt || RTCReporting_messageLog_2025-[PHONE] (5).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト 3.txt
f23396687205f6043d25df574a5c36be95270075d76d2e5eca2e1793037e954d,4,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (13).txt || RTCReporting_messageLog_2025-[PHONE] (6).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト (4).txt
40ac3d98dc0f707635dc2157bed850ac254cf1a12cb84ac51e44dacef7cd5525,4,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (14).txt || RTCReporting_messageLog_2025-[PHONE] (7).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2 (5).txt
3e82fa5d509fd484a9f95d750a6cb6403b76c063cb247eccae409a638a6e1c7d,4,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE] (17).txt || RTCReporting_messageLog_2025-[PHONE] (9).txt || RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2 (7).txt
04ec94f614fd8205939b91a7ff41517c50da42f3d881ef812111faa6a13a1274,4,mini2,rtcr|text_log,RAW_DEVICE_LOG_ARCHIVE,RTCReporting_messageLog_2025-[PHONE].txt || テキスト 2 (8).txt || テキスト 2.txt
dff2d87d2dea2242febec231aee17d1445c35a56868d604b05615f0bf9d772a2,4,mini2,analytics_log,RAW_DEVICE_LOG_ARCHIVE,WiFiLQMMetrics-[PHONE].ips
a633b403d628945abb4a5a263b8456bfaecbff9e8e5a1dfa21c498e5b7061f40,4,mini2,analytics_log,RAW_DEVICE_LOG_ARCHIVE,SFA-sos.json-[PHONE].000 (2).ips || SFA-sos.json-[PHONE].000.ips
