artifact_id,source_root_label,evidence_class,device_label_guess,date_guess,artifact_type_guess,filename_redacted,relative_path_redacted,extension,size_bytes,sha256,private_storage_status,public_redaction_reason
RAW-00000001,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-06-30,analytics_log,WidgetRenderer_Default-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\06\30\WidgetRenderer_Default-[PHONE].ips,.ips,1776850,16683f5fa41aa3a10a02d4c0e82a8beedd825191478104a366f2fe37007d7561,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000002,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-10,analytics_log,duetexpertd.cpu_resource-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\10\duetexpertd.cpu_resource-[PHONE].ips,.ips,27047,50d1d50d8e4cc260cda358d133d76e74b6b93c51f502027c975b5d14cfade4a9,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000003,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-10,analytics_log,duetexpertd.cpu_resource-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\10\duetexpertd.cpu_resource-[PHONE].ips,.ips,23156,924b54fce1112ffcd2da88dda4d6be05d1cd5245a7916f41e74ec3e4fa762775,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000004,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_synced,Analytics-[PHONE].ips.ca.synced,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\Analytics-[PHONE].ips.ca.synced,.synced,232558,607e8dcbb47d592d319f72edb071174c47350c536afe65786cf306cf299bdae1,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000005,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,Instagram-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\Instagram-[PHONE].ips,.ips,85339,3c39400ddea70caf51cde6235c5d3b8ae68037c5229478caedbf98b05545b718,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000006,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,JetsamEvent-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\JetsamEvent-[PHONE].ips,.ips,245574,5b05bac1d21a90b8b425b7bf0899b88444ae95f9ea737228fe34cf06d3be690b,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000007,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,JetsamEvent-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\JetsamEvent-[PHONE].ips,.ips,241915,7f977ede1c261ced5659da518b59445bab5af415fdd35ab2f39b6338f238a6f8,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000008,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,JetsamEvent-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\JetsamEvent-[PHONE].ips,.ips,228299,10c90a20001dcde2c332c732ad2f8d72395ae718386d1ece48ef3362c2c8943d,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000009,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-06-30,rtcr,RTCReporting_messageLog_2025-[PHONE].txt,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\RTCReporting_messageLog_2025-[PHONE].txt,.txt,604809,76e082d4281ac5d15b056cb40663a9e07a27d42b38e890f7e3ca29ad79eb3c0c,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000010,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,SiriSearchFeedback-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\SiriSearchFeedback-[PHONE].ips,.ips,345,fd3bbdd64408de3676b94ccd83470122025c11406ed9f14119e996155a4e03ba,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000011,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,SiriSearchFeedback-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\SiriSearchFeedback-[PHONE].ips,.ips,342,264da685164fdee3e355ab90128d2228b7ff7afc2845a9a530d2f9741a7a8b9d,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000012,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,SiriSearchFeedback-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\SiriSearchFeedback-[PHONE].ips,.ips,345,2ec6ff5b46976cb2dba9f219eb9c33714dc23cb4c804602751cc89f9a57e7017,PRESERVED_SEPARATELY,raw artifact/private path not published
RAW-00000013,H_DeviceLogs_All,RAW_DEVICE_LOG_ARCHIVE,EXTERNAL_DEVICE_REDACTED,2025-07-11,analytics_log,SiriSearchFeedback-[PHONE].ips,Friend_Device\[EXTERNAL_PERSON]\2025\07\11\SiriSearchFeedback-[PHONE].ips,.ips,342,8a00e9ded969e188b694ee2eefa8073e0c74e197e6b09680516a09d135f5d01c,PRESERVED_SEPARATELY,raw artifact/private path not published
