source_group,name,source,repo_path,size,sha256
33b_final,00_source_root_audit.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\00_source_root_audit.csv,evidence-index\00_source_root_audit.csv,1839,76d3f27e126fc5037cf52003c097bb9c0f14f89a2b2687ab67e30b1cf9f34d43
33b_final,00_source_file_inventory.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\00_source_file_inventory.csv,evidence-index\00_source_file_inventory.csv,23493,ccf82c6b8759d7b396a7186e7f6b4d3097b4567920659627e7abf0f6ef559d28
33b_final,00_source_keyword_evidence.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\00_source_keyword_evidence.csv,evidence-index\00_source_keyword_evidence.csv,37181,7dce86a8010530221b2fa6cd23f6cc4090dd10c96d356c90a67f9e1573ab3e50
33b_final,00_source_status_summary.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\00_source_status_summary.csv,evidence-index\00_source_status_summary.csv,1107,f46a1f2af2f20248c833684bbcf1f73b5bbf0b6a09140f313221e3971a4d3635
33b_final,33b_a_score_adjustment_components.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_a_score_adjustment_components.csv,evidence-index\33b_a_score_adjustment_components.csv,356,d1ec6fa24fa0b3b1fa5c37ea8ef7683e657fd0e5b40306c886a8fd1dd13b4548
33b_final,33b_b_final_reconstruction_score.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_b_final_reconstruction_score.csv,evidence-index\33b_b_final_reconstruction_score.csv,313,ca00599673f739134bc5bf67d8e7ea091bcf195534708d50bed476832505b084
33b_final,33b_c_final_verdict_table.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_c_final_verdict_table.csv,evidence-index\33b_c_final_verdict_table.csv,1124,46ce88a5a13185711ab59835219f1c1134dd72db40e48ea58e6a77b5cfab6950
33b_final,33b_d_source_adoption_register.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_d_source_adoption_register.csv,evidence-index\33b_d_source_adoption_register.csv,2523,6ae2caaa70ce085098c6a33960aeeaa52be3e6b10782afe43cb210eaedeabda0
33b_final,33b_e_final_guardrails.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_e_final_guardrails.csv,evidence-index\33b_e_final_guardrails.csv,800,6cc86c46d382dffe4a49bf27f960967328673ed391510aa3b3b43757c88cb56f
33b_final,33b_h_final_falsification_shortlist.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_h_final_falsification_shortlist.csv,evidence-index\33b_h_final_falsification_shortlist.csv,899,2fa8dea806c141eeb79590349213358745c7789fb6a5995c65a349e6fcb8de26
33b_final,33b_i_key_source_copies.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_i_key_source_copies.csv,evidence-index\33b_i_key_source_copies.csv,7615,c86a476905bec3d17681b90736ba4af8a27efd6868424617ccefca3ab8722677
33b_final,33b_j_v1_fix_report.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_j_v1_fix_report.csv,evidence-index\33b_j_v1_fix_report.csv,455,c86dffb1edb2d1a1d5c1bfbc236ddfcd7992548a7f848a174ce567f9dfc70243
33b_final,33b_MASTER_SUMMARY.json,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_MASTER_SUMMARY.json,evidence-index\33b_MASTER_SUMMARY.json,4322,fb91dc8da2204280760acf84576f73cd6131152ac284c760c01dc66453460451
33b_final,33b_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Final_33b_RECONSTRUCTION_SEAL_FIXED\33b_SHA256_MANIFEST.csv,evidence-index\33b_SHA256_MANIFEST.csv,4641,1c260f8975760b26fc0d28f4a1df88b3eb210ed1260ce397ab62a4ff8de1d8e0
repo_package,copied_files_manifest.csv,C:\Users\Administrator\Desktop\Result\SC_Repo_34_LITE_PACKAGE\shadow-cloud-reconstruction-score-lite\manifests\copied_files_manifest.csv,evidence-index\repo_package_manifests\copied_files_manifest.csv,7528,5d490b07cce19d1853695843d1944f34f10b802b12576686721b7479a1f8d1df
repo_package,skipped_large_or_nonrepo_files_manifest.csv,C:\Users\Administrator\Desktop\Result\SC_Repo_34_LITE_PACKAGE\shadow-cloud-reconstruction-score-lite\manifests\skipped_large_or_nonrepo_files_manifest.csv,evidence-index\repo_package_manifests\skipped_large_or_nonrepo_files_manifest.csv,830,4925fcbad963b2ffe75515e1818d0410e549ac3fb3e7871518d18c1dc19fb237
repo_package,repo_lite_package_summary.json,C:\Users\Administrator\Desktop\Result\SC_Repo_34_LITE_PACKAGE\shadow-cloud-reconstruction-score-lite\manifests\repo_lite_package_summary.json,evidence-index\repo_package_manifests\repo_lite_package_summary.json,626,1efaa907e9a6f5c6b24adbf8cdb356dfe1ebca27a995145f3c9ee2a64ffe4189
repo_package,34_OUTPUT_SHA256_MANIFEST.csv,C:\Users\Administrator\Desktop\Result\SC_Repo_34_LITE_PACKAGE\34_OUTPUT_SHA256_MANIFEST.csv,evidence-index\repo_package_manifests\34_OUTPUT_SHA256_MANIFEST.csv,8523,e1746b79a1006cbab9ca2b143f0f8dc1fd688c3bb22a181eff68d0046cde5177
generated,evidence-index/README.md,generated,evidence-index/README.md,1146,ab445a30a31ef114e8b6e4bfd0bae132004044da3ee494fc316abb7bf68eb913
